nominal;data;curs;cdx
1;10/01/2018;44,6558;Австралийский доллар
1;11/01/2018;44,5205;Австралийский доллар
1;12/01/2018;44,8442;Австралийский доллар
1;13/01/2018;44,5740;Австралийский доллар
1;16/01/2018;44,7925;Австралийский доллар
1;17/01/2018;44,9298;Австралийский доллар
1;18/01/2018;45,0872;Австралийский доллар
1;19/01/2018;45,2999;Австралийский доллар
1;20/01/2018;45,4242;Австралийский доллар
1;23/01/2018;45,2839;Австралийский доллар
1;24/01/2018;44,9261;Австралийский доллар
1;25/01/2018;45,2577;Австралийский доллар
1;26/01/2018;45,1681;Австралийский доллар
1;27/01/2018;45,1488;Австралийский доллар
1;30/01/2018;45,5055;Австралийский доллар
1;31/01/2018;45,3371;Австралийский доллар
1;01/02/2018;45,4697;Австралийский доллар
1;02/02/2018;45,1272;Австралийский доллар
1;03/02/2018;44,8382;Австралийский доллар
1;06/02/2018;44,8945;Австралийский доллар
1;07/02/2018;45,0662;Австралийский доллар
1;08/02/2018;44,8507;Австралийский доллар
1;09/02/2018;45,0835;Австралийский доллар
1;10/02/2018;45,2344;Австралийский доллар
1;13/02/2018;45,3520;Австралийский доллар
1;14/02/2018;45,4535;Австралийский доллар
1;15/02/2018;45,3175;Австралийский доллар
1;16/02/2018;45,0810;Австралийский доллар
1;17/02/2018;44,9885;Австралийский доллар
1;20/02/2018;44,6299;Австралийский доллар
1;21/02/2018;44,7470;Австралийский доллар
1;22/02/2018;44,4845;Австралийский доллар
1;23/02/2018;44,3302;Австралийский доллар
1;27/02/2018;44,0936;Австралийский доллар
1;28/02/2018;43,7023;Австралийский доллар
1;01/03/2018;43,9775;Австралийский доллар
1;02/03/2018;43,6569;Австралийский доллар
1;03/03/2018;44,0091;Австралийский доллар
1;06/03/2018;44,2125;Австралийский доллар
1;07/03/2018;43,8980;Австралийский доллар
1;08/03/2018;44,3617;Австралийский доллар
1;13/03/2018;44,5481;Австралийский доллар
1;14/03/2018;44,7915;Австралийский доллар
1;15/03/2018;44,8665;Австралийский доллар
1;16/03/2018;44,8510;Австралийский доллар
1;17/03/2018;44,7937;Австралийский доллар
1;20/03/2018;44,2863;Австралийский доллар
1;21/03/2018;44,4373;Австралийский доллар
1;22/03/2018;44,2485;Австралийский доллар
1;23/03/2018;44,1185;Австралийский доллар
1;24/03/2018;44,1039;Австралийский доллар
1;27/03/2018;44,1096;Австралийский доллар
1;28/03/2018;44,1960;Австралийский доллар
1;29/03/2018;44,1138;Австралийский доллар
